"Y","X1","X2","X3","X4","X5","X6","X7","team","player"
3000,11,0,3,4,2,11,2,"SK","허웅"
3200,11,0,2,9,3,26,8,"KIA","최훈락"
6000,10,1,5,22,5,45,9,"삼성","강명구"
3000,10,3,8,6,3,17,3,"롯데","정훈"
3100,10,1,3,6,4,13,3,"KIA","홍재호"
2600,10,2,8,4,1,13,5,"두산","김재환"
2400,9,2,7,4,4,9,2,"한화","나성용"
4200,9,0,1,5,2,220,11,"한화","추승우"
5700,9,0,3,12,10,246,12,"롯데","이승화"
3000,9,0,3,7,7,22,8,"한화","백승룡"
4500,7,0,2,3,0,112,9,"두산","용덕한"
2600,6,0,1,4,3,22,7,"롯데","김문호"
4000,4,0,1,1,1,161,15,"LG","심광호"
2600,4,0,3,7,2,4,2,"두산","정진호"
2700,4,0,2,1,0,4,2,"LG","정병곤"
2600,4,0,3,1,2,4,2,"SK","안정광"
5300,4,1,5,1,2,108,13,"두산","최승환"
2400,4,0,1,0,2,4,2,"넥센","김도현"
3300,4,0,4,2,3,36,9,"SK","최경철"
3400,3,0,1,1,10,49,6,"넥센","유선정"
2700,3,0,0,3,1,3,3,"KIA","임한용"
3300,3,0,0,2,0,13,5,"KIA","이성우"
3000,3,0,0,1,1,110,11,"SK","조재호"
2800,3,0,0,3,2,3,2,"SK","박윤"
2800,3,0,2,6,3,6,4,"LG","정주현"
2400,2,0,0,2,2,2,7,"SK","홍명찬"
55000,2,0,1,0,1,1476,22,"SK","박경완"
4800,2,0,0,3,2,183,11,"두산","유재웅"
3500,2,0,2,2,2,118,12,"롯데","박준서"
4000,2,0,2,1,2,293,13,"SK","박정환"
2800,2,0,1,0,0,16,7,"LG","황선일"
6000,2,0,0,0,0,76,9,"삼성","이정식"
2600,2,0,2,2,0,21,9,"롯데","박진환"
3000,2,0,2,6,2,10,9,"LG","이학준"
2400,2,0,0,0,1,2,5,"넥센","이승주"
5000,2,0,3,2,1,314,10,"롯데","정보명"
2400,1,0,0,0,0,1,2,"SK","박진원"
2600,1,0,0,0,0,1,2,"KIA","이준호"
2400,1,0,1,0,0,1,2,"SK","김정훈"
2600,1,0,1,0,1,1,2,"넥센","이해창"
2500,1,0,0,0,0,1,2,"삼성","김헌곤"
2600,1,0,0,4,1,1,2,"KIA","윤정우"
2600,1,0,0,0,0,1,2,"KIA","정상교"
17000,114,15,75,49,56,644,10,"두산","최준석"
9500,115,6,31,66,48,285,11,"넥센","김민우"
